User Id,ISBN,Puan
6,9786050907995,7
6,9789755105857,6
6,9786059734684,6
6,9789750706653,10
6,6055943868,7
6,9789123475315,10
6,9786054054930,9
6,9759961169,10
6,9786053754466,6
6,9789759953560,7
6,9789752731332,7
6,9786053751991,10
6,9786053600749,10
6,9789944887335,6
6,9789750835292,6
6,9789750826702,6
6,9786055147860,10
6,9786051850047,10
6,9786051551920,10
6,9786052680064,8
6,9786053327325,6
6,9789759916169,7
6,9789944298964,9
6,9789753633084,6
6,9786054263226,5
6,9789758950386,5
6,9789755391991,7
6,9786051067247,8
6,9789750815409,8
6,9789944983372,10
6,978-605-348-055-6,9
6,9786056691225,8
6,9789751416575,7
6,9786052205082,8
6,9786054927531,8
6,9786054401840,6
6,9789944485838,6
6,9786051117218,6
6,9786054994106,8
6,9786059691871,5
6,9786051113821,10
6,9789752892576,4
6,9786058301153,8
7,9789750800016,6
7,9789752103924,9
7,9789756316405,10
7,9789754370539,6
7,9789754704723,9
7,9789752116832,8
7,9786053430933,7
7,9789753426527,9
7,9786053603535,10
7,9789753628648,8
7,9786053604099,5
7,9789755707402,9
7,9789759953331,7
