Adı,Yazar,Alt başlık,Baskı tarihi,Sayfa sayısı,Format,ISBN,Kitabın türü,Orijinal adı,Çeviri,Dil,Ülke,Yayınevi,Baskılar,Yaş,Cinsiyet,Puan,Oy Sayısı
Semerkant,"Amin Maalouf, Ali Berktay (Çevirmen)",null,Kasım 2018,318,Karton kapak,9789750810031,"Edebiyat, Roman, Tarih",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%23.414-17 Yaş%7.918-24 Yaş%16.225-34 Yaş%20.535-44 Yaş%20.745-54 Yaş%8.355-64 Yaş%165+ Yaş%1.9,Kadın%60Erkek%40,8.6,4.583
Aklından Bir Sayı Tut,"John Verdon, Cemile Özyakan (Çevirmen)",Dave Gurney Serisi 1,Nisan 2011,480,Karton kapak,9786054188710,"Edebiyat, Polisiye, Roman",Think Of A Number,Cemile Özyakan,null,null,null,null,0-13 Yaş%23.914-17 Yaş%12.318-24 Yaş%18.525-34 Yaş%19.235-44 Yaş%16.445-54 Yaş%655-64 Yaş%1.165+ Yaş%2.5,Kadın%69.7Erkek%30.3,8.1,3.974
Tutunamayanlar,Oğuz Atay,Bütün Eserleri 1,Mayıs 2019,724,Karton kapak,9789754700114,"Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%20.114-17 Yaş%10.118-24 Yaş%19.325-34 Yaş%22.335-44 Yaş%16.945-54 Yaş%7.455-64 Yaş%1.165+ Yaş%2.8,Kadın%61.1Erkek%38.9,9.0,5.347
Çavdar Tarlasında Çocuklar,"J. D. Salinger, Coşkun Yerli (Çevirmen)",null,2012,208,Karton kapak,9789753636360,"Edebiyat, Roman",The Catcher İn The Rye,Çoşkun Yerli,Türkçe,null,null,null,0-13 Yaş%22.314-17 Yaş%13.618-24 Yaş%21.625-34 Yaş%20.935-44 Yaş%13.945-54 Yaş%5.655-64 Yaş%0.165+ Yaş%2,Kadın%72.2Erkek%27.8,7.3,4.227
Beyaz Gemi,"Cengiz Aytmatov, Refik Özdek (Çevirmen)",null,Mart 2018,168,Karton kapak,9789754370430,"Edebiyat, Roman",Белый пароход,Refik Özdek,Türkçe,null,null,null,0-13 Yaş%13.514-17 Yaş%20.418-24 Yaş%24.825-34 Yaş%2235-44 Yaş%11.945-54 Yaş%4.155-64 Yaş%0.665+ Yaş%2.5,Kadın%66.4Erkek%33.5,8.4,3.668
Aylak Adam,Yusuf Atılgan,null,Ağustos 2019,192,Karton kapak,9789750735646,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Can Yayınları,null,0-13 Yaş%22.514-17 Yaş%10.118-24 Yaş%22.825-34 Yaş%23.835-44 Yaş%13.945-54 Yaş%3.455-64 Yaş%0.565+ Yaş%3.1,Kadın%65.2Erkek%34.8,8.2,4.207
Melekler ve Şeytanlar,"Dan Brown, Petek Demir (Çevirmen)",Robert Langdon Serisi 1,Nisan 2004,576,Karton kapak,9789752104556,"Edebiyat, Polisiye, Roman","Angels and Deamons (Robert Langdon, #1)",Petek Demir,null,null,null,null,0-13 Yaş%22.314-17 Yaş%6.718-24 Yaş%16.625-34 Yaş%21.435-44 Yaş%23.945-54 Yaş%7.255-64 Yaş%0.565+ Yaş%1.5,Kadın%62.5Erkek%37.5,8.7,3.464
Od,İskender Pala,Bir Yunus Romanı,Ekim 2012,359,Karton kapak,9786054322848,"Edebiyat, Roman, Tarih",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%19.814-17 Yaş%11.518-24 Yaş%22.525-34 Yaş%21.435-44 Yaş%15.845-54 Yaş%5.955-64 Yaş%0.565+ Yaş%2.6,Kadın%68.3Erkek%31.6,8.5,3.445
Milena'ya Mektuplar,"Franz Kafka, Esen Tezel (Çevirmen)",null,24 Temmuz 2018,400,Karton kapak,9789750738005,"Anı-Mektup-Günlük, Dünya Klasikleri, Edebiyat",Briefe an Milena,Esen Tezel,Türkçe,null,null,null,0-13 Yaş%19.814-17 Yaş%11.118-24 Yaş%2725-34 Yaş%23.335-44 Yaş%12.445-54 Yaş%3.555-64 Yaş%0.665+ Yaş%2.4,Kadın%74.5Erkek%25.5,7.9,3.290
Bir Çöküşün Öyküsü,"Stefan Zweig, Regaip Minareci (Çevirmen)",null,Şubat 2017,56,Karton kapak,9786053329527,"Dünya Klasikleri, Edebiyat, Hikaye (Öykü)",Geschicte Eines Untergangs,Regaip Minareci,Türkçe,null,null,null,0-13 Yaş%10.314-17 Yaş%18.818-24 Yaş%26.425-34 Yaş%25.235-44 Yaş%13.645-54 Yaş%3.755-64 Yaş%0.565+ Yaş%1.5,Kadın%73.7Erkek%26.2,7.7,4.055
Dava,"Franz Kafka, Gülperi Sert (Çevirmen)",null,Ekim 2016,224,Karton kapak,9786053324249,"Dünya Klasikleri, Edebiyat, Felsefe-Düşünce, Roman",Der Prozeß,Gülperi Sert,Türkçe,null,null,null,0-13 Yaş%19.914-17 Yaş%918-24 Yaş%21.825-34 Yaş%24.635-44 Yaş%16.745-54 Yaş%5.355-64 Yaş%0.865+ Yaş%1.8,Kadın%58.6Erkek%41.4,7.8,3.523
Böğürtlen Kışı,"Sarah Jio, Duygu Parsadan (Çevirmen)",null,Kasım 2011,360,Karton kapak,9789759997199,"Aşk, Edebiyat, Roman",Blackberry Winter,Duygu Parsadan,Türkçe,null,null,null,0-13 Yaş%22.814-17 Yaş%19.618-24 Yaş%18.525-34 Yaş%15.635-44 Yaş%15.645-54 Yaş%5.855-64 Yaş%0.665+ Yaş%1.5,Kadın%92.8Erkek%7.2,8.6,3.754
Empati,"Adam Fawer, Murat Kayı (Çevirmen), Pelin İpek (Tasarımcı)",null,4 Temmuz 2019,690,Karton kapak,9789756006238,"Bilim-Kurgu, Edebiyat, Roman",Gnosis,null,Türkçe,Türkiye,null,null,0-13 Yaş%28.514-17 Yaş%6.418-24 Yaş%17.625-34 Yaş%22.735-44 Yaş%17.445-54 Yaş%4.655-64 Yaş%0.965+ Yaş%1.9,Kadın%67.7Erkek%32.3,8.4,3.370
Körlük,"José Saramago, Işık Ergüden (Çevirmen)",null,Mayıs 2017,336,Karton kapak,9786052980811,"Edebiyat, Roman",Ensaio Sobre a Cegueira,Işık Ergüden,Türkçe,null,null,null,0-13 Yaş%23.514-17 Yaş%9.618-24 Yaş%19.525-34 Yaş%20.535-44 Yaş%16.645-54 Yaş%7.555-64 Yaş%0.665+ Yaş%2.2,Kadın%68.1Erkek%31.9,8.7,4.934
Denemeler,"Michel de Montaigne, Sabahattin Eyüboğlu (Çevirmen)",null,22 Ocak 2019,314,Karton kapak,9789754586985,"Deneme-İnceleme, Dünya Klasikleri, Edebiyat, Felsefe-Düşünce",Essais,null,Türkçe,Türkiye,null,null,0-13 Yaş%1114-17 Yaş%11.118-24 Yaş%26.625-34 Yaş%2635-44 Yaş%16.745-54 Yaş%555-64 Yaş%0.665+ Yaş%3,Kadın%59.4Erkek%40.5,8.6,3.219
