Adı,Yazar,Alt başlık,Baskı tarihi,Sayfa sayısı,Format,ISBN,Kitabın türü,Orijinal adı,Çeviri,Dil,Ülke,Yayınevi,Baskılar,Yaş,Cinsiyet,Puan,Oy Sayısı 
Kalanlar,Tezer Özlü,null,Ocak 2019,76,Karton kapak,9789753633084,"Anı-Mektup-Günlük, Edebiyat",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%3.614-17 Yaş%4.818-24 Yaş%32.725-34 Yaş%35.535-44 Yaş%15.345-54 Yaş%655-64 Yaş%1.265+ Yaş%0.8,Kadın%74Erkek%25.8,8.5,427
Efrasiyab'ın Hikayeleri,İhsan Oktay Anar,null,Kasım 2018,245,Karton kapak,9789754706482,"Edebiyat, Roman",null,null,Türkçe,Türkiye,İletişim Yayınevi,null,0-13 Yaş%3.114-17 Yaş%018-24 Yaş%13.825-34 Yaş%3935-44 Yaş%3545-54 Yaş%855-64 Yaş%0.965+ Yaş%0.3,Kadın%45.3Erkek%54.7,8.3,488
Aysel,"Halit Ertuğrul, Nesrin Çaylı (Editör), Mesut Sarı (Tasarımcı)",Buna Yürek Dayanmaz...,Nisan 2012,172,Karton kapak,9789758499693,"Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%2.614-17 Yaş%7.518-24 Yaş%3325-34 Yaş%41.635-44 Yaş%10.545-54 Yaş%3.755-64 Yaş%0.465+ Yaş%0.7,Kadın%84.4Erkek%15.6,8.3,294
Devran,"Selahattin Demirtaş, Levent Cantek (Editör)",null,12 Nisan 2019,138,Karton kapak,9789750526596,"Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,İletişim Yayınları,null,10%63.4 (351)9%15.2 (84)8%10.6 (59)7%4.7 (26)6%2.3 (13)5%0.7 (4)4%0.2 (1)3%02%01%2.9 (16),null,9.1,554
Beni Onlara Verme,Tarık Tufan,null,Nisan 2017,248,Karton kapak,9789759969158,"Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,Profil Yayıncılık,null,0-13 Yaş%5.914-17 Yaş%5.318-24 Yaş%3025-34 Yaş%39.435-44 Yaş%11.245-54 Yaş%4.755-64 Yaş%1.865+ Yaş%1.8,Kadın%73.8Erkek%26.2,8.3,440
Yerdeniz Büyücüsü,"Ursula K. Le Guin, Çiğdem Erkal İpek (Çevirmen)",Yerdeniz Üçlemesi 1,Kasım 2011,188,Karton kapak,9789753420570,"Edebiyat, Fantastik, Roman",A Wizard Of Earthsea,Çiğdem Erkal İpek,null,null,null,null,0-13 Yaş%7.214-17 Yaş%518-24 Yaş%17.625-34 Yaş%31.235-44 Yaş%28.145-54 Yaş%8.155-64 Yaş%0.565+ Yaş%2.3,Kadın%65.1Erkek%34.9,8.5,565
Ziyan,Hakan Günday,null,Mart 2012,352,Karton kapak,9786051113302,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%3.414-17 Yaş%2.318-24 Yaş%2125-34 Yaş%39.335-44 Yaş%2645-54 Yaş%6.555-64 Yaş%0.465+ Yaş%1.1,Kadın%50.5Erkek%49.5,8.8,494
Celile,Osman Balcıgil,Ela Gözlü Pars,Şubat 2016,416,Karton kapak,9786053110842,"Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%6.314-17 Yaş%4.218-24 Yaş%11.825-34 Yaş%19.435-44 Yaş%35.945-54 Yaş%15.255-64 Yaş%4.665+ Yaş%2.5,Kadın%85.3Erkek%14.5,8.6,542
Bir Kalbin Çöküşü,"Stefan Zweig, Esen Tezel (Çevirmen)",null,Mayıs 2018,56,Karton kapak,9789750737497,"Edebiyat, Hikaye (Öykü)",Untergang eines Herzens,Esen Tezel,Türkçe,null,null,null,10%14 (61)9%12.2 (53)8%17.9 (78)7%7.4 (32)6%2.3 (10)5%3 (13)4%0.9 (4)3%02%0.2 (1)1%0,null,8.1,435
Define Adası,"Robert Louis Stevenson, Nurettin Elhüseyni (Çevirmen)",null,Şubat 2017,280,Karton kapak,9786053329206,"Çocuk, Dünya Klasikleri, Edebiyat, Roman",Treasure Island,Nurettin Elhüseyni,Türkçe,null,null,null,0-13 Yaş%814-17 Yaş%11.818-24 Yaş%27.525-34 Yaş%22.735-44 Yaş%18.145-54 Yaş%10.155-64 Yaş%0.765+ Yaş%1,Kadın%60.3Erkek%39.7,7.8,341
Toza Sor,"John Fante, Avi Pardo (Çevirmen)",Arthur Bandini Destanı #3,2012,160,Karton kapak,9789758441068,"Edebiyat, Roman, Yeraltı Edebiyatı",Ask The Dust,null,Türkçe,null,null,null,0-13 Yaş%2.714-17 Yaş%0.918-24 Yaş%23.325-34 Yaş%42.535-44 Yaş%20.545-54 Yaş%5.555-64 Yaş%0.965+ Yaş%3.7,Kadın%45.4Erkek%54.6,8.6,539
Liseden Arkadaşlar,Selçuk Aydemir,null,Nisan 2017,224,Karton kapak,9786056722707,"Edebiyat, Eğlence-Mizah, Roman",null,null,Türkçe,Türkiye,Küsurat Yayınları,null,0-13 Yaş%9.214-17 Yaş%1618-24 Yaş%23.725-34 Yaş%35.935-44 Yaş%9.945-54 Yaş%3.855-64 Yaş%0.865+ Yaş%0.8,Kadın%51.4Erkek%48.6,8.4,541
Amat,İhsan Oktay Anar,null,Ağustos 2018,239,Karton kapak,9789750503726,"Edebiyat, Roman, Tarih",null,null,Türkçe,Türkiye,İletişim Yayınevi,null,0-13 Yaş%2.914-17 Yaş%1.818-24 Yaş%12.325-34 Yaş%38.135-44 Yaş%34.345-54 Yaş%7.955-64 Yaş%1.265+ Yaş%1.5,Kadın%41.9Erkek%58.1,8.6,517
Sherlock Holmes - Gerçekler Kanıt İster,"Arthur Conan Doyle, Cumhur Mısırlıoğlu (Çevirmen), Rose Mary Samanoğlu (Editör), Yasin Öksüz (Tasarımcı)",Cep Boy,Ağustos 2012,412,Karton kapak,9786053481812,"Edebiyat, Polisiye, Roman",His Last Bow,null,Türkçe,null,null,null,0-13 Yaş%2.514-17 Yaş%10.218-24 Yaş%33.925-34 Yaş%33.135-44 Yaş%13.145-54 Yaş%4.255-64 Yaş%1.765+ Yaş%1.3,Kadın%53.2Erkek%46.8,8.6,394
Yılkı Atı,Abbas Sayar,null,2013,120,Karton kapak,9789754374066,"Edebiyat, Roman",Yılkı Atı,null,Türkçe,Türkiye,null,null,0-13 Yaş%3.914-17 Yaş%10.118-24 Yaş%2825-34 Yaş%31.135-44 Yaş%16.745-54 Yaş%755-64 Yaş%1.965+ Yaş%1.2,Kadın%67.4Erkek%32.5,7.8,389
Düşerken,Tarık Tufan,null,5 Kasım 2018,299,Karton kapak,9786057525161,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Profil Kitap Yayınları,null,10%36.7 (201)9%24.5 (134)8%21.5 (118)7%9.9 (54)6%3.5 (19)5%1.5 (8)4%1.1 (6)3%0.4 (2)2%0.2 (1)1%0.9 (5),null,8.6,548
İtiraf,İskender Pala,null,Ocak 2019,248,Karton kapak,9789752448773,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Kapı Yayınları,null,10%32.4 (189)9%24.3 (142)8%23.8 (139)7%9.8 (57)6%5.3 (31)5%2.1 (12)4%0.5 (3)3%0.5 (3)2%0.5 (3)1%0.9 (5),null,8.5,584
Kılıçların Fırtınası - Kısım 1,"George R. R. Martin, Sibel Alaş (Çevirmen)",Buz ve Ateşin Şarkısı 3. Kitap,Mayıs 2012,600,Karton kapak,9789944825337,"Edebiyat, Fantastik, Roman",A Storm of Swords,Sibel Alaş,null,null,null,null,0-13 Yaş%4.114-17 Yaş%3.718-24 Yaş%26.925-34 Yaş%34.435-44 Yaş%21.445-54 Yaş%7.555-64 Yaş%0.365+ Yaş%1.7,Kadın%46Erkek%54,9.1,431
Yabancı - Veyl,"Öznur Yıldırım, Tüvana Zararsız (Editör)",Yabancı #2,14 Şubat 2017,600,Ciltli,9786052991282,"Edebiyat, Roman",Yabancı - Veyl,null,Türkçe,null,null,null,0-13 Yaş%6.314-17 Yaş%52.118-24 Yaş%29.525-34 Yaş%7.435-44 Yaş%3.745-54 Yaş%055-64 Yaş%065+ Yaş%1.1,Kadın%97.2Erkek%2.6,8.6,500
Av,"P. C. Cast, Kristin Cast, Sevinç Seyla Tezcan (Çevirmen)",House of Night Serisi 5,2009,408,Karton kapak,9786054263226,"Edebiyat, Fantastik, Roman",Hunted,Sevinç Tezcan Yanar,null,null,null,null,0-13 Yaş%1.914-17 Yaş%5.418-24 Yaş%5125-34 Yaş%24.335-44 Yaş%11.445-54 Yaş%4.455-64 Yaş%0.365+ Yaş%1.4,Kadın%92.9Erkek%7.1,7.8,231
Leyla ile Mecnun,İskender Pala,null,Mart 2004,100,Karton kapak,9789758950386,"Aşk, Edebiyat, Roman",null,null,Türkçe,Türkiye,Kapı Yayınları,null,0-13 Yaş%6.214-17 Yaş%4.818-24 Yaş%27.825-34 Yaş%32.935-44 Yaş%1945-54 Yaş%7.955-64 Yaş%0.365+ Yaş%1.1,Kadın%72.2Erkek%27.8,8.4,299
Bize Nasıl Kıydınız,Emine Şenlikoğlu,null,2012,264,Karton kapak,9756717035,Din (İslam),null,null,Türkçe,Türkiye,Mektup Yayınları,null,0-13 Yaş%5.114-17 Yaş%6.518-24 Yaş%21.125-34 Yaş%32.435-44 Yaş%25.545-54 Yaş%855-64 Yaş%1.165+ Yaş%0.4,Kadın%78.4Erkek%21.6,7.7,236
Bir Kuzey Macerası,"Jack London, Levent Cinemre (Çevirmen)",null,Şubat 2018,56,Karton kapak,9786052953433,"Dünya Klasikleri, Edebiyat, Roman",An Odyssey of the North,Levent Cinemre,Türkçe,null,null,null,0-13 Yaş%9.114-17 Yaş%15.918-24 Yaş%27.325-34 Yaş%22.735-44 Yaş%13.645-54 Yaş%11.455-64 Yaş%065+ Yaş%0,Kadın%63.4Erkek%36.6,7.5,569
Aşkla Kal,Kahraman Tazeoğlu,null,Ocak 2016,312,Karton kapak,9786053110576,"Aşk, Edebiyat, Roman",null,null,Türkçe,Türkiye,Destek Yayınları,null,0-13 Yaş%10.114-17 Yaş%28.518-24 Yaş%24.725-34 Yaş%13.935-44 Yaş%13.945-54 Yaş%5.755-64 Yaş%0.665+ Yaş%2.5,Kadın%80Erkek%20,8.1,432
Zübük,Aziz Nesin,null,Kasım 2005,272,Karton kapak,9789759038496,"Edebiyat, Eğlence-Mizah, Roman",null,null,Türkçe,Türkiye,Nesin Yayınevi,null,0-13 Yaş%2.514-17 Yaş%318-24 Yaş%14.225-34 Yaş%27.935-44 Yaş%30.745-54 Yaş%1655-64 Yaş%3.765+ Yaş%2,Kadın%53.1Erkek%46.9,9.0,399
Divan,"Irvin D. Yalom, Özden Arıkan (Çevirmen)",null,2010,444,Karton kapak,9789755391991,"Edebiyat, Psikoloji, Roman",Lying on the Couch,Özden Arıkan,Türkçe,null,null,null,0-13 Yaş%5.714-17 Yaş%1.218-24 Yaş%12.625-34 Yaş%25.835-44 Yaş%38.145-54 Yaş%13.855-64 Yaş%0.965+ Yaş%1.8,Kadın%65.8Erkek%34.2,8.5,439
"Tüfek, Mikrop ve Çelik","Jared Diamond, Ülker İnce (Çevirmen)",İnsan Topluluklarının Yazgıları,Aralık 2010,610,Karton kapak,9789754032710,"Antropoloji-Etnoloji, Bilim-Teknoloji-Mühendislik, İnsan ve Toplum","Guns, Germs And Stell - The Fates Of Human Societies",Ülker İnce,null,null,null,null,0-13 Yaş%2.714-17 Yaş%1.418-24 Yaş%1725-34 Yaş%39.535-44 Yaş%24.545-54 Yaş%12.955-64 Yaş%1.465+ Yaş%0.7,Kadın%35Erkek%65,8.8,638
Dünyanın İlk Günü,Beyazıt Akman,İmparatorluk 1,Aralık 2011,624,Karton kapak,9789944821964,"Edebiyat, Roman, Tarih",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%8.914-17 Yaş%3.218-24 Yaş%2625-34 Yaş%26.335-44 Yaş%26.345-54 Yaş%5.755-64 Yaş%2.165+ Yaş%1.4,Kadın%51.6Erkek%48.2,9.0,574
Antika Titanik,Murat Menteş,null,21 Eylül 2018,360,Karton kapak,9786056842689,"Edebiyat, Polisiye, Roman",null,null,Türkçe,Türkiye,April Yayıncılık,null,10%19.5 (109)9%14.1 (79)8%21.6 (121)7%19.8 (111)6%8.4 (47)5%5.9 (33)4%3.6 (20)3%2.1 (12)2%2.1 (12)1%2.9 (16),null,7.4,560
Ay Hadi İnşallah!,Pucca,Pucca Günlük 4. Kitap,Kasım 2013,332,Karton kapak,9786055134266,"Anı-Mektup-Günlük, Aşk, Deneme-İnceleme, Edebiyat, Eğlence-Mizah, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.114-17 Yaş%718-24 Yaş%41.925-34 Yaş%27.935-44 Yaş%13.245-54 Yaş%2.955-64 Yaş%065+ Yaş%1.8,Kadın%96.8Erkek%3.2,7.7,218
Tanrıların Arabaları,"Erich Von Daniken, Aslı Gizem Korkmaz (Çevirmen)",Tanrı Bir Astronot Muydu?,Eylül 2012,232,Karton kapak,9786051420356,Parapsikoloji-Spiritüalizm,Errrinnerungen an die Zukunft,null,Türkçe,null,null,null,0-13 Yaş%1.714-17 Yaş%118-24 Yaş%5.725-34 Yaş%1735-44 Yaş%45.845-54 Yaş%21.955-64 Yaş%4.765+ Yaş%2.2,Kadın%53.4Erkek%46.6,7.7,433
Gizliajans,Alper Canıgüz,null,Aralık 2008,204,Karton kapak,9750506307,"Edebiyat, Roman",null,null,Türkçe,Türkiye,İletişim Yayınları,null,0-13 Yaş%614-17 Yaş%318-24 Yaş%22.725-34 Yaş%38.235-44 Yaş%25.345-54 Yaş%355-64 Yaş%0.465+ Yaş%1.3,Kadın%60.4Erkek%39.6,8.2,425
Çiçek Senfonisi,Özdemir Asaf,Toplu Şiirler,Mart 2013,488,Karton kapak,9789750814907,"Edebiyat, Şiir",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.614-17 Yaş%8.718-24 Yaş%27.725-34 Yaş%35.935-44 Yaş%14.345-54 Yaş%5.255-64 Yaş%0.465+ Yaş%2.2,Kadın%60.6Erkek%39.4,9.1,428
Sadako ve Kağıttan Bin Turna Kuşu,"Eleanor Coerr, Zuhal Yeke (Çevirmen)",null,Aralık 2012,96,Karton kapak,9789756580585,"Çocuk, Edebiyat, Hikaye (Öykü)",Sadako and the Thousand Paper Cranes,Zuhal Yeke,Türkçe,null,null,null,0-13 Yaş%714-17 Yaş%2618-24 Yaş%1725-34 Yaş%2535-44 Yaş%1945-54 Yaş%555-64 Yaş%165+ Yaş%0,Kadın%80.9Erkek%19.1,9.0,496
Canavarlar Denizi,Rick Riordan,Percy Jackson ve Olimposlular 2,2005,281,Karton kapak,9786051110462,"Edebiyat, Fantastik, Gençlik, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.714-17 Yaş%29.918-24 Yaş%44.825-34 Yaş%10.335-44 Yaş%4.345-54 Yaş%2.155-64 Yaş%065+ Yaş%2.8,Kadın%73.3Erkek%26.7,8.6,358
Cehenneme Övgü,Gündüz Vassaf,Gündelik Hayatta Totalitarizm,Eylül 2015,277,Karton kapak,9789754707069,"Deneme-İnceleme, Edebiyat, Felsefe-Düşünce",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%314-17 Yaş%018-24 Yaş%19.425-34 Yaş%39.735-44 Yaş%30.245-54 Yaş%5.655-64 Yaş%1.365+ Yaş%0.9,Kadın%55.4Erkek%44.6,8.8,519
Yüksek Ökçeler,Ömer Seyfettin,null,Kasım 2017,96,Karton kapak,9789753628631,"Edebiyat, Hikaye (Öykü), Türk Klasikleri",null,null,Türkçe,Türkiye,Timaş Çocuk Yayınları,null,0-13 Yaş%2.214-17 Yaş%3.718-24 Yaş%2525-34 Yaş%32.135-44 Yaş%22.545-54 Yaş%11.455-64 Yaş%2.265+ Yaş%1,Kadın%77.1Erkek%22.9,7.9,162
Cinder,"Marissa Meyer, Deniz Arı (Çevirmen)",Ay Günlüğü #1,Ocak 2015,421,Karton kapak,9786051425528,"Edebiyat, Fantastik, Roman","Cinder (The Lunar Chronicles, #1)",null,Türkçe,null,null,null,0-13 Yaş%7.114-17 Yaş%49.618-24 Yaş%24.825-34 Yaş%14.235-44 Yaş%2.445-54 Yaş%1.255-64 Yaş%065+ Yaş%0.8,Kadın%95.4Erkek%4.6,8.7,666
Gece Yolu,"Kristin Hannah, Solina Silahlı (Çevirmen)",null,Nisan 2012,496,Karton kapak,9786055289218,"Edebiyat, Roman",Night Road,Solina Silahlı,Türkçe,null,null,null,0-13 Yaş%3.114-17 Yaş%7.718-24 Yaş%30.425-34 Yaş%20.635-44 Yaş%22.745-54 Yaş%12.955-64 Yaş%2.865+ Yaş%0,Kadın%94.3Erkek%5.7,8.9,380
Büyük Saat,Turgut Uyar,Bütün Şiirleri,Ocak 2019,725,Karton kapak,9789750803376,"Antoloji, Edebiyat, Şiir",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.614-17 Yaş%2.118-24 Yaş%25.625-34 Yaş%39.735-44 Yaş%16.745-54 Yaş%4.355-64 Yaş%1.365+ Yaş%4.7,Kadın%55.2Erkek%44.8,9.0,365
